ProductID,ProductName,SubCategory,Category,UnitCost,UnitPrice
1000,ProBook 14,Laptops,Electronics,152.94,329.68
1001,UltraSlim 15,Laptops,Electronics,294.14,540.86
1002,GameMax 17,Laptops,Electronics,66.63,95.97
1003,AirLite 13,Laptops,Electronics,27.94,58.1
1004,WorkStation X1,Laptops,Electronics,242.44,469.67
1005,Galaxy Nova,Smartphones,Electronics,13.13,28.53
1006,iPhonic 12,Smartphones,Electronics,333.81,497.75
1007,Pixel Prime,Smartphones,Electronics,76.82,112.55
1008,Nova Mini,Smartphones,Electronics,125.18,221.85
1009,Zenith Z1,Smartphones,Electronics,175.62,274.34
1010,SoundMax Pro,Headphones,Electronics,246.68,351.65
1011,BassBoost 200,Headphones,Electronics,120.4,196.22
1012,AirBuds Lite,Headphones,Electronics,185.15,371.53
1013,StudioMonitor,Headphones,Electronics,83.87,147.85
1014,NoiseCancel X,Headphones,Electronics,239.0,320.69
1015,TabPro 10,Tablets,Electronics,244.98,356.07
1016,SlateBook 8,Tablets,Electronics,30.7,66.13
1017,PadOne 11,Tablets,Electronics,386.42,783.49
1018,MiniTab 7,Tablets,Electronics,125.32,173.93
1019,DrawPad Pro,Tablets,Electronics,275.27,466.9
1020,SnapShot X200,Cameras,Electronics,53.21,92.89
1021,ProLens D5,Cameras,Electronics,18.58,39.36
1022,ActionCam 4K,Cameras,Electronics,107.22,203.32
1023,MirrorPro M2,Cameras,Electronics,128.13,226.54
1024,TravelCam Lite,Cameras,Electronics,220.95,323.99
1025,ErgoComfort,Chairs,Furniture,387.99,775.06
1026,ExecutiveMax,Chairs,Furniture,376.1,791.82
1027,StudyChair Pro,Chairs,Furniture,241.17,513.62
1028,MeshBack Chair,Chairs,Furniture,39.95,58.98
1029,LoungeSeat,Chairs,Furniture,22.86,36.41
1030,StandDesk Pro,Desks,Furniture,158.53,244.8
1031,CornerDesk XL,Desks,Furniture,332.35,538.77
1032,CompactDesk,Desks,Furniture,115.97,207.4
1033,ExecutiveDesk,Desks,Furniture,60.67,122.67
1034,GamingDesk RGB,Desks,Furniture,34.45,75.38
1035,ClassicShelf,Bookcases,Furniture,310.04,458.5
1036,ModernCube,Bookcases,Furniture,7.18,14.6
1037,TallShelf Pro,Bookcases,Furniture,284.21,555.95
1038,CornerBookcase,Bookcases,Furniture,309.65,423.18
